Number,Name,Type,Height(m),Weight(lbs),BMI,Image Link
33,Nidorino,['Poison'],0.9,43,19.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorino.png
34,Nidoking,"['Poison', 'Ground']",1.4,136.7,62,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoking.png
35,Clefairy,['Fairy'],0.6,16.5,7.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefairy.png
36,Clefable,['Fairy'],1.3,88.2,40,https://img.pokemondb.net/sprites/scarlet-violet/icon/clefable.png
37,Vulpix,['Fire'],0.6,21.8,9.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/vulpix.png
38,Ninetales,['Fire'],1.1,43.9,19.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/ninetales.png
39,Jigglypuff,"['Normal', 'Fairy']",0.5,12.1,5.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/jigglypuff.png
40,Wigglytuff,"['Normal', 'Fairy']",1,26.5,12,https://img.pokemondb.net/sprites/scarlet-violet/icon/wigglytuff.png
41,Zubat,"['Poison', 'Flying']",0.8,16.5,7.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/zubat.png
42,Golbat,"['Poison', 'Flying']",1.6,121.3,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/golbat.png
43,Oddish,"['Grass', 'Poison']",0.5,11.9,5.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/oddish.png
44,Gloom,"['Grass', 'Poison']",0.8,19,8.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/gloom.png
45,Vileplume,"['Grass', 'Poison']",1.2,41,18.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/vileplume.png
46,Paras,"['Bug', 'Grass']",0.3,11.9,5.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/paras.png
47,Parasect,"['Bug', 'Grass']",1,65,29.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/parasect.png
48,Venonat,"['Bug', 'Poison']",1,66.1,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/venonat.png
49,Venomoth,"['Bug', 'Poison']",1.5,27.6,12.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/venomoth.png
50,Diglett,['Ground'],0.2,1.8,0.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/diglett.png
51,Dugtrio,['Ground'],0.7,73.4,33.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/dugtrio.png
52,Meowth,['Normal'],0.4,9.3,4.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/meowth.png
53,Persian,['Normal'],1,70.5,32,https://img.pokemondb.net/sprites/scarlet-violet/icon/persian.png
54,Psyduck,['Water'],0.8,43.2,19.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/psyduck.png
55,Golduck,['Water'],1.7,168.9,76.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/golduck.png
56,Mankey,['Fighting'],0.5,61.7,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/mankey.png
57,Primeape,['Fighting'],1,70.5,32,https://img.pokemondb.net/sprites/scarlet-violet/icon/primeape.png
58,Growlithe,['Fire'],0.7,41.9,19,https://img.pokemondb.net/sprites/scarlet-violet/icon/growlithe.png
59,Arcanine,['Fire'],1.9,341.7,155,https://img.pokemondb.net/sprites/scarlet-violet/icon/arcanine.png
60,Poliwag,['Water'],0.6,27.3,12.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwag.png
61,Poliwhirl,['Water'],1,44.1,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwhirl.png
62,Poliwrath,"['Water', 'Fighting']",1.3,119,54,https://img.pokemondb.net/sprites/scarlet-violet/icon/poliwrath.png
63,Abra,['Psychic'],0.9,43,19.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/abra.png
64,Kadabra,['Psychic'],1.3,124.6,56.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/kadabra.png
65,Alakazam,['Psychic'],1.5,105.8,48,https://img.pokemondb.net/sprites/scarlet-violet/icon/alakazam.png
66,Machop,['Fighting'],0.8,43,19.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/machop.png
67,Machoke,['Fighting'],1.5,155.4,70.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/machoke.png
68,Machamp,['Fighting'],1.6,286.6,130,https://img.pokemondb.net/sprites/scarlet-violet/icon/machamp.png
69,Bellsprout,"['Grass', 'Poison']",0.7,8.8,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/bellsprout.png
70,Weepinbell,"['Grass', 'Poison']",1,14.1,6.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/weepinbell.png
71,Victreebel,"['Grass', 'Poison']",1.7,34.2,15.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/victreebel.png
72,Tentacool,"['Water', 'Poison']",0.9,100.3,45.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacool.png
73,Tentacruel,"['Water', 'Poison']",1.6,121.3,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/tentacruel.png
74,Geodude,"['Rock', 'Ground']",0.4,44.1,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/geodude.png
75,Graveler,"['Rock', 'Ground']",1,231.5,105,https://img.pokemondb.net/sprites/scarlet-violet/icon/graveler.png
76,Golem,"['Rock', 'Ground']",1.4,661.4,300,https://img.pokemondb.net/sprites/scarlet-violet/icon/golem.png
77,Ponyta,['Fire'],1,66.1,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/ponyta.png
78,Rapidash,['Fire'],1.7,209.4,95,https://img.pokemondb.net/sprites/scarlet-violet/icon/rapidash.png
79,Slowpoke,"['Water', 'Psychic']",1.2,79.4,36,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowpoke.png
80,Slowbro,"['Water', 'Psychic']",1.6,173.1,78.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowbro.png
81,Magnemite,"['Electric', 'Metal']",0.3,13.2,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/magnemite.png
82,Magneton,"['Electric', 'Metal']",1,132.3,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/magneton.png
83,Farfetch'd,"['Normal', 'Flying']",0.8,33.1,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/farfetchd.png
84,Doduo,"['Normal', 'Flying']",1.4,86.4,39.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/doduo.png
85,Dodrio,"['Normal', 'Flying']",1.8,187.8,85.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/dodrio.png
86,Seel,['Water'],1.1,198.4,90,https://img.pokemondb.net/sprites/scarlet-violet/icon/seel.png
87,Dewgong,"['Water', 'Ice']",1.7,264.6,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/dewgong.png
88,Grimer,['Poison'],0.9,66.1,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/grimer.png
89,Muk,['Poison'],1.2,66.1,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/muk.png
90,Shellder,['Water'],0.3,8.8,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/shellder.png
91,Cloyster,"['Water', 'Ice']",1.5,292.1,132.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/cloyster.png
92,Gastly,"['Ghost', 'Poison']",1.3,0.2,0.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/gastly.png
93,Haunter,"['Ghost', 'Poison']",1.6,0.2,0.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/haunter.png
94,Gengar,"['Ghost', 'Poison']",1.5,89.3,40.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/gengar.png
95,Onix,"['Rock', 'Ground']",8.8,463,210,https://img.pokemondb.net/sprites/scarlet-violet/icon/onix.png
96,Drowzee,['Psychic'],1,71.4,32.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/drowzee.png
97,Hypno,['Psychic'],1.6,166.7,75.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/hypno.png
98,Krabby,['Water'],0.4,14.3,6.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/krabby.png
99,Kingler,['Water'],1.3,132.3,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/kingler.png
100,Voltorb,['Electric'],0.5,22.9,10.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/voltorb.png
101,Electrode,['Electric'],1.2,146.8,66.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/electrode.png
102,Exeggcute,"['Grass', 'Psychic']",0.4,5.5,2.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggcute.png
103,Exeggutor,"['Grass', 'Psychic']",2,264.6,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/exeggutor.png
104,Cubone,['Ground'],0.4,14.3,6.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/cubone.png
105,Marowak,['Ground'],1,99.2,45,https://img.pokemondb.net/sprites/scarlet-violet/icon/marowak.png
106,Hitmonlee,['Fighting'],1.5,109.8,49.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonlee.png
107,Hitmonchan,['Fighting'],1.4,110.7,50.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/hitmonchan.png
108,Lickitung,['Normal'],1.2,144.4,65.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/lickitung.png
109,Koffing,['Poison'],0.6,2.2,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/koffing.png
110,Weezing,['Poison'],1.2,20.9,9.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/weezing.png
111,Rhyhorn,"['Ground', 'Rock']",1,253.5,115,https://img.pokemondb.net/sprites/scarlet-violet/icon/rhyhorn.png
112,Rhydon,"['Ground', 'Rock']",1.9,264.6,120,https://img.pokemondb.net/sprites/scarlet-violet/icon/rhydon.png
113,Chansey,['Normal'],1.1,76.3,34.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/chansey.png
114,Tangela,['Grass'],1,77.2,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/tangela.png
115,Kangaskhan,['Normal'],2.2,176.4,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/kangaskhan.png
116,Horsea,['Water'],0.4,17.6,8,https://img.pokemondb.net/sprites/scarlet-violet/icon/horsea.png
117,Seadra,['Water'],1.2,55.1,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/seadra.png
118,Goldeen,['Water'],0.6,33.1,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/goldeen.png
119,Seaking,['Water'],1.3,86,39,https://img.pokemondb.net/sprites/scarlet-violet/icon/seaking.png
120,Staryu,['Water'],0.8,76.1,34.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/staryu.png
121,Starmie,"['Water', 'Psychic']",1.1,176.4,80,https://img.pokemondb.net/sprites/scarlet-violet/icon/starmie.png
122,Mr. Mime,"['Psychic', 'Fairy']",1.3,120.2,54.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/mr-mime.png
123,Scyther,"['Bug', 'Flying']",1.5,123.5,56,https://img.pokemondb.net/sprites/scarlet-violet/icon/scyther.png
124,Jynx,"['Ice', 'Psychic']",1.4,89.5,40.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/jynx.png
125,Electabuzz,['Electric'],1.1,66.1,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/electabuzz.png
126,Magmar,['Fire'],1.3,98.1,44.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/magmar.png
127,Pinsir,['Bug'],1.5,121.3,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/pinsir.png
128,Tauros,['Normal'],1.4,194.9,88.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/tauros.png
129,Magikarp,['Water'],0.9,22,10,https://img.pokemondb.net/sprites/scarlet-violet/icon/magikarp.png
130,Gyarados,"['Water', 'Flying']",6.5,518.1,235,https://img.pokemondb.net/sprites/scarlet-violet/icon/gyarados.png
131,Lapras,"['Water', 'Ice']",2.5,485,220,https://img.pokemondb.net/sprites/scarlet-violet/icon/lapras.png
132,Ditto,['Normal'],0.3,8.8,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/ditto.png
133,Eevee,['Normal'],0.3,14.3,6.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/eevee.png
134,Vaporeon,['Water'],1,63.9,29,https://img.pokemondb.net/sprites/scarlet-violet/icon/vaporeon.png
135,Jolteon,['Electric'],0.8,54,24.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/jolteon.png
136,Flareon,['Fire'],0.9,55.1,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/flareon.png
137,Porygon,['Normal'],0.8,80.5,36.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/porygon.png
138,Omanyte,"['Rock', 'Water']",0.4,16.5,7.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/omanyte.png
139,Omastar,"['Rock', 'Water']",1,77.2,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/omastar.png
140,Kabuto,"['Rock', 'Water']",0.5,25.4,11.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/kabuto.png
141,Kabutops,"['Rock', 'Water']",1.3,89.3,40.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/kabutops.png
142,Aerodactyl,"['Rock', 'Flying']",1.8,130.1,59,https://img.pokemondb.net/sprites/scarlet-violet/icon/aerodactyl.png
143,Snorlax,['Normal'],2.1,1014.1,460,https://img.pokemondb.net/sprites/scarlet-violet/icon/snorlax.png
144,Articuno,"['Ice', 'Flying']",1.7,122.1,55.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/articuno.png
145,Zapdos,"['Electric', 'Flying']",1.6,116,52.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/zapdos.png
146,Moltres,"['Fire', 'Flying']",2,132.3,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/moltres.png
147,Dratini,['Dragon'],1.8,7.3,3.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/dratini.png
148,Dragonair,['Dragon'],4,36.4,16.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/dragonair.png
149,Dragonite,"['Dragon', 'Flying']",2.2,463,210,https://img.pokemondb.net/sprites/scarlet-violet/icon/dragonite.png
150,Mewtwo,['Psychic'],2,269,122,https://img.pokemondb.net/sprites/scarlet-violet/icon/mewtwo.png
151,Mew,['Psychic'],0.4,8.8,4,https://img.pokemondb.net/sprites/scarlet-violet/icon/mew.png
152,Chikorita,['Grass'],0.9,14.1,6.4,https://img.pokemondb.net/sprites/scarlet-violet/icon/chikorita.png
153,Bayleef,['Grass'],1.2,34.8,15.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/bayleef.png
154,Meganium,['Grass'],1.8,221.6,100.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/meganium.png
155,Cyndaquil,['Fire'],0.5,17.4,7.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/cyndaquil.png
156,Quilava,['Fire'],0.9,41.9,19,https://img.pokemondb.net/sprites/scarlet-violet/icon/quilava.png
157,Typhlosion,['Fire'],1.7,175.3,79.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/typhlosion.png
158,Totodile,['Water'],0.6,20.9,9.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/totodile.png
159,Croconaw,['Water'],1.1,55.1,25,https://img.pokemondb.net/sprites/scarlet-violet/icon/croconaw.png
160,Feraligatr,['Water'],2.3,195.8,88.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/feraligatr.png
161,Sentret,['Normal'],0.8,13.2,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/sentret.png
162,Furret,['Normal'],1.8,71.7,32.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/furret.png
163,Hoothoot,"['Normal', 'Flying']",0.7,46.7,21.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/hoothoot.png
164,Noctowl,"['Normal', 'Flying']",1.6,89.9,40.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/noctowl.png
165,Ledyba,"['Bug', 'Flying']",1,23.8,10.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/ledyba.png
166,Ledian,"['Bug', 'Flying']",1.4,78.5,35.6,https://img.pokemondb.net/sprites/scarlet-violet/icon/ledian.png
167,Spinarak,"['Bug', 'Poison']",0.5,18.7,8.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/spinarak.png
168,Ariados,"['Bug', 'Poison']",1.1,73.9,33.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/ariados.png
169,Crobat,"['Poison', 'Flying']",1.8,165.3,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/crobat.png
170,Chinchou,"['Water', 'Electric']",0.5,26.5,12,https://img.pokemondb.net/sprites/scarlet-violet/icon/chinchou.png
171,Lanturn,"['Water', 'Electric']",1.2,49.6,22.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/lanturn.png
172,Pichu,['Electric'],0.3,4.4,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/pichu.png
173,Cleffa,['Fairy'],0.3,6.6,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/cleffa.png
174,Igglybuff,"['Normal', 'Fairy']",0.3,2.2,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/igglybuff.png
175,Togepi,['Fairy'],0.3,3.3,1.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/togepi.png
176,Togetic,"['Fairy', 'Flying']",0.6,7.1,3.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/togetic.png
177,Natu,"['Psychic', 'Flying']",0.2,4.4,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/natu.png
178,Xatu,"['Psychic', 'Flying']",1.5,33.1,15,https://img.pokemondb.net/sprites/scarlet-violet/icon/xatu.png
179,Mareep,['Electric'],0.6,17.2,7.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/mareep.png
180,Flaaffy,['Electric'],0.8,29.3,13.3,https://img.pokemondb.net/sprites/scarlet-violet/icon/flaaffy.png
181,Ampharos,['Electric'],1.4,135.6,61.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/ampharos.png
182,Bellossom,['Grass'],0.4,12.8,5.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/bellossom.png
183,Marill,"['Water', 'Fairy']",0.4,18.7,8.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/marill.png
184,Azumarill,"['Water', 'Fairy']",0.8,62.8,28.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/azumarill.png
185,Sudowoodo,['Rock'],1.2,83.8,38,https://img.pokemondb.net/sprites/scarlet-violet/icon/sudowoodo.png
186,Politoed,['Water'],1.1,74.7,33.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/politoed.png
187,Hoppip,"['Grass', 'Flying']",0.4,1.1,0.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/hoppip.png
188,Skiploom,"['Grass', 'Flying']",0.6,2.2,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/skiploom.png
189,Jumpluff,"['Grass', 'Flying']",0.8,6.6,3,https://img.pokemondb.net/sprites/scarlet-violet/icon/jumpluff.png
190,Aipom,['Normal'],0.8,25.4,11.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/aipom.png
191,Sunkern,['Grass'],0.3,4,1.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/sunkern.png
192,Sunflora,['Grass'],0.8,18.7,8.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/sunflora.png
193,Yanma,"['Bug', 'Flying']",1.2,83.8,38,https://img.pokemondb.net/sprites/scarlet-violet/icon/yanma.png
194,Wooper,"['Water', 'Ground']",0.4,18.7,8.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/wooper.png
195,Quagsire,"['Water', 'Ground']",1.4,165.3,75,https://img.pokemondb.net/sprites/scarlet-violet/icon/quagsire.png
196,Espeon,['Psychic'],0.9,58.4,26.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/espeon.png
197,Umbreon,['Darkness'],1,59.5,27,https://img.pokemondb.net/sprites/scarlet-violet/icon/umbreon.png
198,Murkrow,"['Darkness', 'Flying']",0.5,4.6,2.1,https://img.pokemondb.net/sprites/scarlet-violet/icon/murkrow.png
199,Slowking,"['Water', 'Psychic']",2,175.3,79.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/slowking.png
200,Misdreavus,['Ghost'],0.7,2.2,1,https://img.pokemondb.net/sprites/scarlet-violet/icon/misdreavus.png
201,Unown,['Psychic'],0.5,11,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/unown.png
202,Wobbuffet,['Psychic'],1.3,62.8,28.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/wobbuffet.png
203,Girafarig,"['Normal', 'Psychic']",1.5,91.5,41.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/girafarig.png
204,Pineco,['Bug'],0.6,15.9,7.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/pineco.png
205,Forretress,"['Bug', 'Metal']",1.2,277.3,125.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/forretress.png
206,Dunsparce,['Normal'],1.5,30.9,14,https://img.pokemondb.net/sprites/scarlet-violet/icon/dunsparce.png
207,Gligar,"['Ground', 'Flying']",1.1,142.9,64.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/gligar.png
208,Steelix,"['Metal', 'Ground']",9.2,881.8,400,https://img.pokemondb.net/sprites/scarlet-violet/icon/steelix.png
209,Snubbull,['Fairy'],0.6,17.2,7.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/snubbull.png
210,Granbull,['Fairy'],1.4,107.4,48.7,https://img.pokemondb.net/sprites/scarlet-violet/icon/granbull.png
211,Qwilfish,"['Water', 'Poison']",0.5,8.6,3.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/qwilfish.png
212,Scizor,"['Bug', 'Metal']",1.8,260.1,118,https://img.pokemondb.net/sprites/scarlet-violet/icon/scizor.png
213,Shuckle,"['Bug', 'Rock']",0.6,45.2,20.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/shuckle.png
214,Heracross,"['Bug', 'Fighting']",1.5,119,54,https://img.pokemondb.net/sprites/scarlet-violet/icon/heracross.png
215,Sneasel,"['Darkness', 'Ice']",0.9,61.7,28,https://img.pokemondb.net/sprites/scarlet-violet/icon/sneasel.png
216,Teddiursa,['Normal'],0.6,19.4,8.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/teddiursa.png
217,Ursaring,['Normal'],1.8,277.3,125.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/ursaring.png
218,Slugma,['Fire'],0.7,77.2,35,https://img.pokemondb.net/sprites/scarlet-violet/icon/slugma.png
219,Magcargo,"['Fire', 'Rock']",0.8,121.3,55,https://img.pokemondb.net/sprites/scarlet-violet/icon/magcargo.png
220,Swinub,"['Ice', 'Ground']",0.4,14.3,6.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/swinub.png
221,Piloswine,"['Ice', 'Ground']",1.1,123,55.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/piloswine.png
222,Corsola,"['Water', 'Rock']",0.6,11,5,https://img.pokemondb.net/sprites/scarlet-violet/icon/corsola.png
223,Remoraid,['Water'],0.6,26.5,12,https://img.pokemondb.net/sprites/scarlet-violet/icon/remoraid.png
224,Octillery,['Water'],0.9,62.8,28.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/octillery.png
225,Delibird,"['Ice', 'Flying']",0.9,35.3,16,https://img.pokemondb.net/sprites/scarlet-violet/icon/delibird.png
226,Mantine,"['Water', 'Flying']",2.1,485,220,https://img.pokemondb.net/sprites/scarlet-violet/icon/mantine.png
227,Skarmory,"['Metal', 'Flying']",1.7,111.3,50.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/skarmory.png
